"candidate_id","contribution_year","contribution_max","contribution_min","contribution_avg","total","donation_count","donor_count"
160,2019,11000,19,1102.0286434108527,284323.39,258,258
160,2020,10000,3,967.3602941176471,131561,136,136
160,2021,14207.1,250,1485.9015555555554,66865.56999999999,45,45
161,2017,715783,5,912.2005655526992,1064538.06,1167,1167
161,2018,5100,10,823.5897435897435,96360,117,117
162,2017,30000,10,1252.841552062868,1275392.6999999997,1018,1018
162,2018,35000,15,1067.889754789272,1393596.13,1305,1305
162,2019,62500,22.4,2063.9938051044082,889581.33,431,431
162,2020,15000,10,1272.2197178683384,405838.08999999997,319,319
162,2021,37000,11.24,1470.503796992481,1173462.0299999998,798,798
162,2022,25000,10,2619.25,199063,76,76
