Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
84,2019,500,5,50.17898437,6422.91,128,111
84,2020,4700,3,118.1500703,50450.08,427,282
85,2018,4400,5,574.8818898,146020,254,230
85,2019,2350,20,455.7142857,9570,21,21
86,2016,4400,0,485.0133824,65961.82,136,133
86,2017,4400,15,326.8891367,45437.59,139,134
86,2018,4400,25,471.3089017,81536.44,173,158
86,2019,8400,18,557.7292308,101506.72,182,170
86,2020,4700,25,907.394958,107980,119,107
87,2016,4400,25,459.1705405,67957.24,148,135
87,2017,4400,25,484.1363636,53255,110,106
87,2018,3000,50,468.3009709,48235,103,90
87,2019,4700,25,822.9655488,134966.35,164,140
87,2020,5000,78,1037.540541,76778,74,66
88,2016,5000,50,1224.972231,444664.92,363,318
88,2017,7500,25,1333.385794,478685.5,359,330
88,2018,25000,25,2206.684095,695105.49,315,269
88,2019,25000,5,1642.117974,770153.33,469,418
88,2020,25000,20,2318.696581,542575,234,213
89,2016,2500,10,383.6619718,27240,71,70
89,2017,200,25,95,950,10,10
89,2018,4400,10,320.9248372,68998.84,215,182
90,2020,4700,10,341.2365591,31735,93,89
91,2016,4400,25,945.6214689,167375,177,142
91,2017,2500,75,622.0108696,57225,92,75
91,2018,4400,25,835.4347826,96075,115,86
91,2019,4000,250,754.0597872,35440.81,47,43
92,2018,4400,2,772.631016,144482,187,178
92,2019,4700,20,480.0641026,37445,78,62
92,2020,4700,10,850.4931507,62086,73,61
93,2016,65000,-1000,6027.666623,7781717.61,1291,1125
93,2017,87754,0.01,5248.326158,12212854.97,2327,2033
93,2018,108897.98,0.72,3015.405609,9359819.01,3104,2448
93,2019,69700,2.99,5033.669213,8381059.24,1665,1267
93,2020,60000,1,4018.063353,2720228.89,677,558
94,2018,21100,3,1772.523604,2336186.11,1318,1065
94,2019,22600,5,1137.197438,412802.67,363,330
94,2020,22600,5,2709.492754,186955,69,65
95,2016,12200,10,365.0918239,290248,795,671
95,2017,715783,5,909.2871123,1061138.06,1167,995
95,2018,5100,10,823.5897436,96360,117,110
96,2016,15000,15.92,1708.466179,1166882.4,683,494
96,2017,30000,10,1251.766764,1284312.7,1026,727
96,2018,35000,15,1071.347144,1414178.23,1320,923
96,2019,62500,22.4,2072.78321,897515.13,433,306
96,2020,15000,10,1552.246579,117970.74,76,67
